content	lable
이종석 한효주 나오는 드라마 이후로 드라마 안봤다. 2년전인가?? 좀 신선했었지. 근데 이런 개막장 드라마는 도대체 누가 보느냐면 변태들이 보는 것이다. 정상적인 사람들은 채널을 돌리게 된다.	0
씨바알..노무노무 술프노... 오늘 저녁은 꽂등심이다ㅠㅜ	0
짱깨 꺼라ㅡ패쓰	0
그들의 사생활 ~ 고인이된 설리를 위해서라도 모두 조용하길 지금 누굴 탓한다고 무슨소용이있다고	1
아무리 법이 뭣같아도 무슨 자격으로 개인의 신상정보를 불특정 다수에게 공개하는지 도저히 이해가 안되네요 법을 바꾸기 위해 노력하세요 저런 능력으로 불법적인 일을 공공의 이익으로 포장하지 마시구요	1
다음도 들어와라하고...다른 의견내는 유튜버 목 자르고....추아줌마 꺼 여기저기서 진술나오니...무슨 기강감찰이니 하며 협박들어가고..... 댓글에 중국 러시아 욕하는 사람들 이제 아가리 닥쳐라. 우리나라도 똑같이 되었다.	0
여자들도 아무한테나 자기야라고하는사람있는데 그것도성희롱인것같은데요	1
나경아 젖깐사진이나 인스타에 좀올려라 물좀빼게	0
어린시절 가정교육 못 받은 애들은 절대 그 본성을 숨길수없지	0
지연이 얼굴은 더 배우같네...	1
건축학 개론 지금 다시 봤는데 솔직히 건축학 개론 보다는 아닙니다ㅋ 건축학 개론은 건들지 맙시다ㅋ 볼때마다 가슴이 애려 옵니다ㅜㅜ	1
개별 공무원 뷰웅들의 헷지랄에 뭔 청와대까지 들먹이는지... 빠끄네 때도 순시리가 개뻘짓했지 청와대는 암것도 않했지 말입니다~	0
서열1위네 좆냥이 찍소리도못함ㅋ	0
대깨문이 문재인 협박범을 쉴드치네? 역시 대가리가 붕어인듯~	0
이런기사 내지마세요.	1
세계적으로 코로나19 방역 최고로 인정을 받도록 한 자들에게 큰박수를 보냅니다	1
돈이전부는 아니라지만 첫째가 돈이 먼저지 이세상 에는 돈으로 세상을사니ㅠ	1
